"id_bloqueio_cartao","id_cartao","id_tipo_bloqueio_cartao","dt_bloqueio","dt_desbloqueio","fl_liberado"
59846,51047,4,2022-10-29,2022-10-29,S
60622,51047,-5,2022-11-26,,N
59847,51048,-4,2022-10-29,2022-11-26,S
37442,37161,-4,2021-01-14,,N
37444,37162,4,2021-01-14,2021-01-14,S
37436,37158,4,2021-01-14,2021-01-14,S
37443,37158,17,2021-01-14,,N
60695,51553,4,2022-11-30,2022-11-30,S
61278,51553,-5,2022-12-26,,N
61277,51553,19,2022-12-26,2022-12-26,S
60696,51554,-4,2022-11-30,2022-12-26,S
53438,43298,-6,2022-04-18,,N
47222,43298,4,2021-10-19,,N
57937,45185,18,2022-08-27,,N
50109,45185,4,2021-12-27,2021-12-27,S
50108,45125,17,2021-12-27,,N
50006,45125,4,2021-12-22,2021-12-22,S
56699,49186,4,2022-07-15,2022-07-19,S
57395,49186,-5,2022-08-09,,N
56748,49222,-4,2022-07-19,2022-08-09,S
57882,49884,4,2022-08-26,2022-08-26,S
58535,49884,-5,2022-09-17,,N
57883,49885,-4,2022-08-26,2022-09-17,S
39210,38247,-5,2021-03-31,,N
39204,38247,4,2021-03-30,2021-03-31,S
39209,38250,-4,2021-03-31,2021-03-31,S
56765,42263,3,2022-07-19,,N
45568,42263,-4,2021-09-01,2021-09-01,S
45567,42262,4,2021-09-01,2021-09-01,S
45569,42262,-5,2021-09-01,,N
56766,49234,4,2022-07-19,2022-07-19,S
44158,41081,-5,2021-08-02,,N
43717,41081,4,2021-07-30,2021-08-02,S
44157,41369,-4,2021-08-02,2021-08-02,S
59652,50344,-5,2022-10-21,,N
58632,50344,4,2022-09-21,2022-09-21,S
58640,50349,-4,2022-09-21,2022-10-21,S
61374,51939,4,2022-12-30,2022-12-30,S
61940,51939,-5,2023-01-19,,N
50113,45187,4,2021-12-27,2021-12-27,S
45762,42374,4,2021-09-08,2021-10-08,S
46847,42374,-5,2021-10-08,,N
46846,43057,-4,2021-10-08,2021-10-08,S
61380,51944,-4,2022-12-30,2023-01-19,S
42395,40171,-5,2021-07-07,,N
42320,40171,4,2021-07-07,2021-07-07,S
42394,40218,-4,2021-07-07,2021-07-07,S
38903,38052,-5,2021-03-19,,N
38867,38052,4,2021-03-18,2021-03-19,S
38902,38070,-4,2021-03-19,2021-03-19,S
40403,38958,4,2021-05-26,2021-05-29,S
40529,38958,-5,2021-05-29,,N
40528,39033,-4,2021-05-29,2021-05-29,S
54424,47567,-5,2022-05-21,,N
53937,47567,4,2022-04-30,2022-04-30,S
53952,47577,-4,2022-04-30,2022-05-21,S
43655,37317,-6,2021-07-29,,N
37688,37317,4,2021-01-29,,N
56058,48882,4,2022-07-02,2022-07-03,S
56646,48882,-5,2022-07-14,,N
56193,49011,-4,2022-07-03,2022-07-14,S
61966,51753,-5,2023-01-20,,N
61096,51753,4,2022-12-19,2022-12-19,S
61101,51758,-4,2022-12-19,2023-01-20,S
50859,40798,28,2022-02-02,,N
43288,40798,-4,2021-07-22,2021-07-22,S
43289,40797,-5,2021-07-22,,N
43287,40797,4,2021-07-22,2021-07-22,S
54915,44854,-6,2022-06-08,,N
49616,44854,4,2021-12-09,,N
38860,38045,4,2021-03-18,2021-03-25,S
39146,38045,-5,2021-03-27,,N
39145,38213,-4,2021-03-27,2021-03-27,S
49255,44619,4,2021-11-28,2021-11-28,S
49257,44619,-5,2021-11-28,,N
53978,44620,30,2022-05-02,,N
49256,44620,-4,2021-11-28,2021-11-28,S
48072,43879,4,2021-11-05,2021-11-09,S
48270,43879,-5,2021-11-09,,N
44987,41909,4,2021-08-20,2021-08-20,S
45076,41909,-5,2021-08-20,,N
48269,43998,-4,2021-11-09,2021-11-09,S
37593,37257,4,2021-01-25,2021-01-25,S
37622,37257,-5,2021-01-25,,N
38255,37665,-4,2021-02-22,2021-02-22,S
37621,37279,-4,2021-01-25,2021-01-25,S
45075,41973,-4,2021-08-20,2021-08-20,S
58465,49760,-5,2022-09-16,,N
57736,49760,4,2022-08-23,2022-08-25,S
57875,49879,-4,2022-08-25,2022-09-16,S
38099,37567,4,2021-02-15,2021-02-22,S
38256,37567,-5,2021-02-22,,N
44259,41083,-5,2021-08-03,,N
43719,41083,4,2021-07-30,2021-08-03,S
44258,41435,-4,2021-08-03,2021-08-03,S
53216,46307,-5,2022-04-08,,N
