"id_bloqueio_cliente","id_cliente","id_tipo_bloqueio_cliente","dt_bloqueio","dt_desbloqueio","fl_liberado","dt_vencimento_fatura"
81394,13983,2,2023-07-23,,N,2023-07-20
74268,13983,2,2023-02-23,2023-02-27,S,2023-02-20
72807,13983,2,2023-01-23,2023-01-24,S,2023-01-20
50788,14059,2,2021-05-25,2021-05-27,S,2021-05-15
51478,14059,9,2021-06-25,2021-08-25,S,2021-06-15
52904,14059,3,2021-08-25,,N,
48599,14059,2,2021-02-25,2021-04-08,S,2021-02-15
81611,14064,2,2023-07-28,2023-07-29,S,2023-07-25
79098,14064,2,2023-05-28,2023-06-30,S,2023-05-25
73250,14064,2,2023-01-28,2023-03-28,S,2023-01-25
57127,14130,9,2022-02-04,2022-04-04,S,2022-01-25
58831,14130,3,2022-04-04,2022-10-07,S,
67351,14130,5,2022-10-07,,N,
73402,14138,2,2023-02-08,2023-02-10,S,2023-02-05
58049,14161,2,2022-03-15,2022-04-06,S,2022-03-05
60454,14161,2,2022-05-08,2022-05-11,S,2022-05-05
52494,14161,2,2021-08-15,2021-09-03,S,2021-08-05
56310,14161,2,2022-01-15,2022-02-15,S,2022-01-05
81887,14161,2,2023-08-08,2023-08-15,S,2023-08-05
71895,14161,2,2023-01-08,2023-01-29,S,2023-01-05
70362,14161,2,2022-12-08,2022-12-13,S,2022-12-05
65877,14161,2,2022-09-08,2022-09-11,S,2022-09-05
55782,14218,2,2021-12-20,2022-02-04,S,2021-12-10
62687,14220,2,2022-06-23,2022-06-25,S,2022-06-20
65472,14220,2,2022-08-23,2022-08-27,S,2022-08-20
59869,14220,2,2022-04-23,2022-04-24,S,2022-04-20
75736,14220,2,2023-03-23,2023-03-26,S,2023-03-20
78783,14220,2,2023-05-23,2023-05-27,S,2023-05-20
77372,14220,2,2023-04-23,2023-04-26,S,2023-04-20
81395,14220,2,2023-07-23,2023-07-27,S,2023-07-20
80141,14220,2,2023-06-23,2023-06-27,S,2023-06-20
74269,14220,2,2023-02-23,2023-03-04,S,2023-02-20
71356,14220,2,2022-12-23,2023-01-07,S,2022-12-20
64046,14220,2,2022-07-23,2022-07-30,S,2022-07-20
69726,14220,2,2022-11-23,2022-12-01,S,2022-11-20
76804,14225,2,2023-04-13,2023-05-06,S,2023-04-10
74903,14225,2,2023-03-13,2023-03-16,S,2023-03-10
80851,14225,2,2023-07-13,,N,2023-07-10
81612,14300,2,2023-07-28,2023-07-31,S,2023-07-25
61418,14311,5,2022-05-27,,N,
57157,14311,3,2022-02-04,2022-05-27,S,
55335,14311,9,2021-12-05,2022-02-04,S,2021-11-25
53065,14311,2,2021-09-04,2021-09-07,S,2021-08-25
51742,14375,2,2021-07-05,2021-07-12,S,2021-06-25
67464,14386,2,2022-10-13,2022-11-07,S,2022-10-10
63434,14542,9,2022-07-13,2022-09-13,S,2022-07-10
66423,14542,3,2022-09-13,,N,
72655,14721,2,2023-01-18,2023-02-15,S,2023-01-15
78002,14772,2,2023-05-13,2023-05-15,S,2023-05-10
80914,14772,2,2023-07-13,2023-07-28,S,2023-07-10
72147,14772,2,2023-01-13,2023-01-14,S,2023-01-10
72445,14772,2,2023-01-13,2023-01-14,S,2023-01-10
54641,14876,2,2021-11-15,2021-12-01,S,2021-11-05
56311,14876,2,2022-01-15,2022-02-02,S,2022-01-05
61392,14939,3,2022-05-23,,N,
58596,14939,9,2022-03-30,2022-05-23,S,2022-03-20
55227,14939,2,2021-11-30,2021-12-09,S,2021-11-20
59238,14967,9,2022-04-13,2022-06-13,S,2022-04-10
58106,14967,2,2022-03-20,2022-03-23,S,2022-03-10
62285,14967,3,2022-06-13,,N,
70842,15004,2,2022-12-13,2022-12-16,S,2022-12-10
52483,15009,3,2021-08-11,,N,
51182,15009,9,2021-06-11,2021-08-11,S,2021-06-01
48979,15009,2,2021-03-11,2021-04-15,S,2021-03-01
56916,15044,3,2022-01-30,,N,
55228,15044,9,2021-11-30,2022-01-30,S,2021-11-20
72671,15154,2,2023-01-18,2023-01-24,S,2023-01-15
78618,15154,3,2023-05-18,,N,
75630,15154,2,2023-03-18,2023-05-18,S,2023-03-15
74077,15154,2,2023-02-18,2023-02-25,S,2023-02-15
68008,15154,2,2022-10-18,2022-10-27,S,2022-10-15
69589,15154,2,2022-11-18,2022-12-17,S,2022-11-15
53769,15207,2,2021-10-05,2021-11-20,S,2021-09-25
57963,15207,3,2022-03-07,,N,
56214,15207,9,2022-01-04,2022-03-07,S,2021-12-25
80451,15334,2,2023-06-28,2023-07-04,S,2023-06-25
59875,15418,2,2022-04-23,2022-05-14,S,2022-04-20
75739,15418,2,2023-03-23,2023-03-24,S,2023-03-20
77378,15418,2,2023-04-23,2023-05-11,S,2023-04-20
60360,15455,3,2022-04-28,2023-03-22,S,
57854,15455,9,2022-03-07,2022-04-28,S,2022-02-25
75686,15455,5,2023-03-22,,N,
76831,15603,3,2023-04-13,,N,
70871,15603,2,2022-12-13,2023-01-21,S,2022-12-10
73537,15603,2,2023-02-13,2023-04-13,S,2023-02-10
68933,15603,2,2022-11-13,2022-11-23,S,2022-11-10
78079,15632,2,2023-05-13,2023-05-27,S,2023-05-10
76587,15632,2,2023-04-13,2023-04-18,S,2023-04-10
62770,15676,3,2022-06-23,,N,
59884,15676,9,2022-04-23,2022-06-23,S,2022-04-20
59119,15694,2,2022-04-13,2022-04-14,S,2022-04-10
63516,15694,2,2022-07-13,2022-08-19,S,2022-07-10
60824,15694,2,2022-05-13,2022-05-27,S,2022-05-10
72453,15694,5,2023-01-18,,N,
69299,15694,3,2022-11-13,2023-01-18,S,
66095,15694,2,2022-09-13,2022-11-13,S,2022-09-10
60246,15886,2,2022-04-28,2022-05-22,S,2022-04-25
56936,15886,2,2022-02-04,2022-02-05,S,2022-01-25
65565,15886,2,2022-08-28,2022-08-29,S,2022-08-25
57869,15886,2,2022-03-07,2022-03-19,S,2022-02-25
74605,15886,2,2023-02-28,2023-03-04,S,2023-02-25
77661,15886,2,2023-04-28,2023-05-14,S,2023-04-25
73011,15886,2,2023-01-28,2023-02-04,S,2023-01-25
68305,15908,2,2022-10-23,2022-11-04,S,2022-10-20
59361,15996,3,2022-04-13,2022-05-09,S,
56362,15996,9,2022-01-20,2022-04-13,S,2022-01-10
60489,15996,5,2022-05-09,,N,
58130,16029,2,2022-03-20,2022-04-25,S,2022-03-10
56363,16029,2,2022-01-20,2022-02-13,S,2022-01-10
54884,16029,2,2021-11-20,2021-12-12,S,2021-11-10
52224,16029,7,2021-07-30,2021-08-24,S,
78286,16029,3,2023-05-13,,N,
75171,16029,2,2023-03-13,2023-05-13,S,2023-03-10
70729,16029,2,2022-12-13,2023-01-21,S,2022-12-10
69159,16029,2,2022-11-13,2022-11-17,S,2022-11-10
61951,16029,2,2022-06-13,2022-07-29,S,2022-06-10
54903,16084,2,2021-11-20,2021-11-23,S,2021-11-10
81215,16147,2,2023-07-18,,N,2023-07-15
60330,16226,3,2022-04-28,,N,
57880,16226,9,2022-03-07,2022-04-28,S,2022-02-25
82024,16241,2,2023-08-13,2023-08-14,S,2023-08-10
76640,16241,2,2023-04-13,2023-04-17,S,2023-04-10
58137,16273,2,2022-03-20,2022-03-26,S,2022-03-10
54905,16273,2,2021-11-20,2022-01-08,S,2021-11-10
75418,16273,5,2023-03-18,,N,
69162,16273,2,2022-11-13,2023-01-13,S,2022-11-10
66155,16273,2,2022-09-13,2022-09-14,S,2022-09-10
67658,16273,2,2022-10-13,2022-10-20,S,2022-10-10
72409,16273,3,2023-01-13,2023-03-18,S,
61960,16273,2,2022-06-13,2022-07-13,S,2022-06-10
78290,16356,3,2023-05-13,,N,
75204,16356,2,2023-03-13,2023-05-13,S,2023-03-10
67659,16400,2,2022-10-13,2022-10-15,S,2022-10-10
70947,16667,-3,2022-12-14,,N,
81858,16742,2,2023-08-04,2023-08-05,S,2023-08-01
78295,16828,3,2023-05-13,,N,
75244,16828,2,2023-03-13,2023-05-13,S,2023-03-10
79184,16857,2,2023-06-04,2023-07-31,S,2023-06-01
81706,17045,2,2023-07-28,2023-07-29,S,2023-07-25
53802,17116,9,2021-10-05,2021-12-05,S,2021-09-25
55462,17116,3,2021-12-05,,N,
61464,17118,2,2022-05-28,2022-06-04,S,2022-05-25
81354,17118,5,2023-07-20,,N,
66750,17118,3,2022-09-18,2023-07-20,S,
63730,17118,9,2022-07-18,2022-09-18,S,2022-07-15
63634,17162,2,2022-07-13,2022-08-08,S,2022-07-10
54699,17162,2,2021-11-20,2021-11-22,S,2021-11-10
55744,17162,2,2021-12-20,2022-01-04,S,2021-12-10
53374,17162,2,2021-09-20,2021-09-30,S,2021-09-10
60514,17162,2,2022-05-13,2022-06-08,S,2022-05-10
59175,17162,2,2022-04-13,2022-04-15,S,2022-04-10
51953,17162,2,2021-07-20,2021-08-02,S,2021-07-10
80773,17162,2,2023-07-13,2023-07-23,S,2023-07-10
69258,17162,2,2022-11-13,2022-11-30,S,2022-11-10
63635,17224,2,2022-07-13,2022-07-28,S,2022-07-10
79489,17224,2,2023-06-13,2023-06-28,S,2023-06-10
82177,17224,2,2023-08-13,,N,2023-08-10
70772,17224,2,2022-12-13,2022-12-29,S,2022-12-10
