"id_cobranca","id_cliente","fl_ativo","fl_status_acordo","dt_entrada","dt_inicio_atraso","dt_inicio_juros","dt_saida","vl_divida_inicial"
13839,14939,N,S,2022-05-23,2022-03-20,2022-05-20,,663.06
13716,15455,N,C,2022-04-28,2022-02-25,2022-04-25,,1462.61
14543,17118,S,S,2022-09-18,2022-07-15,2022-09-15,,1218.30
14445,18726,S,S,2022-09-13,2022-07-10,2022-09-10,,697.98
12958,18926,N,C,2021-12-25,2021-10-15,2021-12-15,,505.32
14009,19866,S,P,2022-04-28,2022-06-12,2022-06-12,,552.60
14724,20212,N,S,2022-06-18,2022-10-06,2022-10-06,,218.08
12587,20321,N,C,2021-10-05,2021-07-25,2021-09-25,,613.20
11930,20809,N,P,2021-04-20,2021-02-10,2021-04-10,,798.87
13462,22141,N,C,2022-04-04,2022-01-25,2022-03-25,,514.98
13836,22899,N,C,2021-11-04,2022-05-14,2022-05-14,,284.10
12812,24759,S,P,2021-11-25,2021-09-15,2021-11-15,,618.23
11973,25098,N,C,2021-04-30,2021-02-20,2021-04-20,,533.09
13840,25103,N,C,2022-05-23,2022-03-20,2022-05-20,,63.66
13335,25835,N,S,2022-03-20,2021-12-10,2022-03-10,,746.79
13796,26825,S,C,2022-01-15,2022-05-08,2022-05-08,,375.00
14384,28537,S,S,2022-08-28,2022-06-25,2022-08-25,,689.79
12615,28883,N,S,2021-10-20,2021-08-10,2021-10-10,,678.26
14388,29376,S,S,2022-08-28,2022-06-25,2022-08-25,,652.76
14173,29644,S,C,2022-07-18,2022-05-15,2022-07-15,,527.09
12675,29901,N,P,2021-10-25,2021-08-15,2021-10-15,,413.74
14461,29952,S,S,2022-09-13,2022-07-10,2022-09-10,,746.28
12807,30503,N,S,2021-11-25,2021-09-15,2021-11-15,,838.55
13391,30757,N,C,2022-03-25,2022-01-15,2022-03-15,,1334.16
11994,30843,N,S,2021-05-05,2021-02-25,2021-04-25,,583.39
14608,30874,N,S,2022-09-28,2022-07-25,2022-09-25,,459.30
12999,30884,N,S,2022-01-04,2021-10-25,2021-12-25,,761.40
14341,30901,N,C,2022-04-27,2022-08-14,2022-08-14,,424.20
14612,30948,N,S,2022-09-28,2022-07-25,2022-09-25,,289.88
12094,31014,N,C,2021-05-25,2021-03-15,2021-05-15,,471.77
13155,31081,N,C,2022-02-04,2021-11-25,2022-01-25,,997.58
13991,31108,S,P,2022-06-18,2022-04-15,2022-06-15,,639.36
13742,31181,N,C,2022-05-13,2022-03-10,2022-05-10,,621.68
13285,31219,N,C,2022-03-07,2021-12-25,2022-02-25,,318.39
13159,31278,N,S,2022-02-04,2021-11-25,2022-01-25,,1344.87
12522,31279,N,S,2021-09-20,2021-07-10,2021-09-10,,792.50
13447,31347,N,S,2022-04-04,2022-01-25,2022-03-25,,533.90
12833,31385,N,C,2021-11-30,2021-09-20,2021-11-20,,1109.61
12465,31407,N,C,2021-09-04,2021-06-25,2021-08-25,,239.06
12866,31413,S,P,2021-12-05,2021-09-25,2021-11-25,,267.51
12346,31462,N,S,2021-07-30,2021-05-20,2021-07-20,,440.28
14766,31480,S,S,2022-07-13,2022-10-11,2022-10-11,,140.00
12608,31489,N,C,2021-10-15,2021-08-05,2021-10-05,,670.69
14557,31504,N,P,2022-03-20,2021-12-10,2022-09-15,,258.00
13481,31512,N,P,2022-04-08,2022-02-05,2022-04-05,,334.56
14325,31542,S,S,2022-08-18,2022-06-15,2022-08-15,,936.86
14751,31635,S,P,2022-10-18,2022-08-15,2022-10-15,,586.22
13065,31717,N,S,2022-01-20,2021-11-10,2022-02-10,,749.45
14482,14542,S,S,2022-09-13,2022-07-10,2022-09-10,,630.46
13271,15207,N,S,2022-03-07,2021-12-25,2022-02-25,,952.19
12862,17116,N,S,2021-12-05,2021-09-25,2021-11-25,,451.84
