"id_fatura","id_processamento","id_cliente","fl_ativa","dt_vencimento","vl_minimo_pagamento","vl_fatura"
1877453,2428,13983,S,2023-08-20,817.63,1190.99
1818847,2416,13983,N,2023-06-20,447.23,561.26
1848016,2422,13983,N,2023-07-20,529.18,971.03
1852603,2423,14130,N,2023-07-25,0.00,0.00
1789676,2410,13983,N,2023-05-20,534.90,564.04
1760823,2404,13983,N,2023-04-20,372.26,675.87
1675386,2386,13983,N,2023-01-20,194.74,921.73
1647291,2380,13983,N,2022-12-20,129.91,649.57
1703682,2392,13983,N,2023-02-20,228.30,865.16
1732134,2398,13983,N,2023-03-20,263.01,290.45
1611437,2368,13983,N,2022-10-20,0.00,0.00
1619376,2374,13983,N,2022-11-20,180.81,904.05
1843367,2421,14059,N,2023-07-15,0.00,0.00
1872759,2427,14059,S,2023-08-15,0.00,0.00
1814222,2415,14059,N,2023-06-15,0.00,0.00
1785091,2409,14059,N,2023-05-15,0.00,0.00
1756269,2403,14059,N,2023-04-15,0.00,0.00
1727619,2397,14059,N,2023-03-15,0.00,0.00
1699192,2391,14059,N,2023-02-15,0.00,0.00
1670937,2385,14059,N,2023-01-15,0.00,0.00
1614995,2373,14059,N,2022-11-15,0.00,0.00
1642889,2379,14059,N,2022-12-15,0.00,0.00
1587264,2367,14059,N,2022-10-15,0.00,0.00
1452160,2337,14059,N,2022-05-15,0.00,0.00
1559768,2361,14059,N,2022-09-15,0.00,0.00
1505300,2349,14059,N,2022-07-15,0.00,0.00
1532473,2355,14059,N,2022-08-15,0.00,0.00
1478510,2343,14059,N,2022-06-15,0.00,0.00
1425770,2331,14059,N,2022-04-15,0.00,0.00
1399764,2325,14059,N,2022-03-15,0.00,0.00
1373940,2319,14059,N,2022-02-15,0.00,0.00
1348494,2313,14059,N,2022-01-15,0.00,0.00
1323094,2307,14059,N,2021-12-15,0.00,0.00
1273242,2295,14059,N,2021-10-15,0.00,0.00
1297902,2301,14059,N,2021-11-15,0.00,0.00
1249055,2289,14059,N,2021-09-15,0.00,0.00
1201376,2277,14059,N,2021-07-15,482.72,517.60
1225044,2283,14059,N,2021-08-15,750.56,832.14
1178537,2271,14059,N,2021-06-15,236.12,246.72
1111670,2253,14059,N,2021-03-15,459.48,923.94
1133816,2259,14059,N,2021-04-15,734.39,1081.12
1156109,2265,14059,N,2021-05-15,221.06,221.06
1089745,2247,14059,N,2021-02-15,152.08,608.42
1076383,2241,14059,N,2021-01-15,0.00,0.00
1852592,2423,14064,N,2023-07-25,81.65,400.68
1882013,2429,14064,S,2023-08-25,94.01,438.13
1823340,2417,14064,N,2023-06-25,296.46,534.20
1794253,2411,14064,N,2023-05-25,90.98,431.11
1708072,2393,14064,N,2023-02-25,271.71,487.62
1765304,2405,14064,N,2023-04-25,139.54,455.90
1736554,2399,14064,N,2023-03-25,406.72,576.53
1679756,2387,14064,N,2023-01-25,79.90,399.50
1639368,2375,14064,N,2022-11-25,0.00,0.00
1651652,2381,14064,N,2022-12-25,82.34,411.72
1805028,2414,14066,N,2023-06-10,0.00,0.00
1834137,2420,14066,N,2023-07-10,0.00,0.00
1863446,2426,14066,S,2023-08-10,0.00,0.00
1775989,2408,14066,N,2023-05-10,0.00,0.00
1747217,2402,14066,N,2023-04-10,0.00,0.00
1662090,2384,14066,N,2023-01-10,0.00,0.00
1690286,2390,14066,N,2023-02-10,0.00,0.00
1718650,2396,14066,N,2023-03-10,0.00,0.00
1606237,2372,14066,N,2022-11-10,0.00,0.00
1634106,2378,14066,N,2022-12-10,0.00,0.00
1578619,2366,14066,N,2022-10-10,0.00,0.00
1551216,2360,14066,N,2022-09-10,0.00,0.00
1523985,2354,14066,N,2022-08-10,0.00,0.00
1496872,2348,14066,N,2022-07-10,0.00,0.00
1470304,2342,14066,N,2022-06-10,0.00,0.00
1443974,2336,14066,N,2022-05-10,0.00,0.00
1391786,2324,14066,N,2022-03-10,0.00,0.00
1366016,2318,14066,N,2022-02-10,0.00,0.00
1417705,2330,14066,N,2022-04-10,0.00,0.00
1283584,2294,14066,N,2021-10-10,0.00,0.00
1340644,2312,14066,N,2022-01-10,0.00,0.00
1315372,2306,14066,N,2021-12-10,0.00,0.00
1290367,2300,14066,N,2021-11-10,0.00,0.00
1708083,2393,14130,N,2023-02-25,0.00,0.00
1651663,2381,14130,N,2022-12-25,0.00,0.00
1805043,2414,14136,N,2023-06-10,0.00,0.00
1690301,2390,14136,N,2023-02-10,0.64,0.78
1718665,2396,14136,N,2023-03-10,0.71,0.78
1524000,2354,14136,N,2022-08-10,4.99,4.99
1524022,2354,14218,N,2022-08-10,147.86,632.95
1340679,2312,14218,N,2022-01-10,236.66,532.60
1877471,2428,14220,S,2023-08-20,110.89,488.19
1848034,2422,14220,N,2023-07-20,110.87,488.17
1789694,2410,14220,N,2023-05-20,119.92,494.69
1647309,2380,14220,N,2022-12-20,110.99,494.30
1675404,2386,14220,N,2023-01-20,345.69,606.76
1703700,2392,14220,N,2023-02-20,93.56,443.86
1732152,2398,14220,N,2023-03-20,110.90,495.03
1482678,2344,14220,N,2022-06-20,105.86,468.01
1794282,2411,14300,N,2023-05-25,75.35,75.35
1852624,2423,14311,N,2023-07-25,0.00,0.00
1794285,2411,14311,N,2023-05-25,0.00,0.00
1651683,2381,14311,N,2022-12-25,0.00,0.00
1794291,2411,14375,N,2023-05-25,55.82,251.15
1651689,2381,14375,N,2022-12-25,37.28,155.60
1882024,2429,14130,S,2023-08-25,0.00,0.00
1882042,2429,14300,S,2023-08-25,152.20,264.19
1882045,2429,14311,S,2023-08-25,0.00,0.00
1882051,2429,14375,S,2023-08-25,109.43,519.21
1794264,2411,14130,N,2023-05-25,0.00,0.00
1823351,2417,14130,N,2023-06-25,0.00,0.00
1823369,2417,14300,N,2023-06-25,188.66,205.44
1823372,2417,14311,N,2023-06-25,0.00,0.00
1736565,2399,14130,N,2023-03-25,0.00,0.00
1765315,2405,14130,N,2023-04-25,0.00,0.00
1679767,2387,14130,N,2023-01-25,0.00,0.00
1679788,2387,14311,N,2023-01-25,0.00,0.00
1623719,2375,14130,N,2022-11-25,0.00,0.00
1568393,2363,14130,N,2022-09-25,0.00,0.00
